10:00,2022-12-10,Artcraft Theater,Avatar: The Way of Water
13:15,2023-01-01,Artcraft Theater,Forrest Gump
17:00,2023-01-23,Artcraft Theater,Forrest Gump
21:20,2023-01-11,Booth Theater,Silence of the Lambs
19:10,2022-10-06,Capitol Theater,The Dark Night
22:45,2022-10-06,Capitol Theater,The Dark Night
19:35,2022-12-16,Cliff Theater,The Dark Night
14:00,2022-12-17,Los Angeles Theater,The Breakfast Club
18:30,2022-12-18,Los Angeles Theater,The Breakfast Club
18:15,2022-12-19,Paramount Theater,Top Gun
21:20,2022-12-19,Paramount Theater,Top Gun
18:15,2022-12-19,Tower Theater,Top Gun
23:00,2023-02-01,Vista Theater,Top Gun
09:20,2023-02-04,Garneau Theater,Ponyo
19:25,2023-02-04,Royal Cinema,Ponyo
12:30,2049-01-01,Atlantic,Blade Runner 2049
21:00,2022-11-06,Astoria,The Terminator
22:20,2022-11-06,Maximteatern,The Terminator
13:30,2022-08-04,Draken,The Sound of Music
